sample	original_name	group	training	chiptype
microarray1.tsv	converted_c1.spot39018.tsv	1		cDNA
microarray10.tsv	converted_k2.spot39027.tsv	2		cDNA
microarray11.tsv	converted_k3.spot39028.tsv	2		cDNA
microarray12.tsv	converted_k4.spot39029.tsv	2		cDNA
microarray13.tsv	converted_k5.spot39030.tsv	2		cDNA
microarray14.tsv	converted_k6.spot39031.tsv	2		cDNA
microarray15.tsv	converted_k7.spot39032.tsv	2		cDNA
microarray16.tsv	converted_k8.spot39033.tsv	2		cDNA
microarray2.tsv	converted_c2.spot39019.tsv	1		cDNA
microarray3.tsv	converted_c3.spot39020.tsv	1		cDNA
microarray4.tsv	converted_c4.spot39021.tsv	1		cDNA
microarray5.tsv	converted_c5.spot39022.tsv	1		cDNA
microarray6.tsv	converted_c6.spot39023.tsv	1		cDNA
microarray7.tsv	converted_c7.spot39024.tsv	1		cDNA
microarray8.tsv	converted_c8.spot39025.tsv	1		cDNA
microarray9.tsv	converted_k1.spot39026.tsv	2		cDNA
