chip.microarray1	chip.microarray10	chip.microarray11	chip.microarray12	chip.microarray13	chip.microarray14	chip.microarray15	chip.microarray16	chip.microarray2	chip.microarray3	chip.microarray4	chip.microarray5	chip.microarray6	chip.microarray7	chip.microarray8	chip.microarray9	average.microarray1	average.microarray10	average.microarray11	average.microarray12	average.microarray13	average.microarray14	average.microarray15	average.microarray16	average.microarray2	average.microarray3	average.microarray4	average.microarray5	average.microarray6	average.microarray7	average.microarray8	average.microarray9	flag.flag.microarray1	flag.flag.microarray10	flag.flag.microarray11	flag.flag.microarray12	flag.flag.microarray13	flag.flag.microarray14	flag.flag.microarray15	flag.flag.microarray16	flag.flag.microarray2	flag.flag.microarray3	flag.flag.microarray4	flag.flag.microarray5	flag.flag.microarray6	flag.flag.microarray7	flag.flag.microarray8	flag.flag.microarray9
1	0.26	0.39	-0.75	0.74	-0.35	-0.03	-0.32	0.34	0.77	0.48	1.32	-0.15	0.89	0.2	0.94	-0.25	11.94	10.81	10.56	10.66	11.06	10.95	10.45	11.03	11.5	11.17	10.48	11.39	10.52	10.58	10	9.36	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
2	-0.02	-0.67	-1.19	0.17	-1.43	-1.28	-1.32	-0.6	-0.2	-0.35	-0.18	-0.77	0.02	-0.93	-0.03	-0.69	11.85	10.88	10.06	10	11.32	10.8	10.4	10.71	11.37	10.89	10.42	10.62	10.39	10.35	9.7	10.56	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
3	0.2	0.4	0.39	-0.22	0.5	-0.94	-0.52	-0.61	0.64	0.64	0.82	-1.34	0.37	0.06	0.02	0.07	10.66	10.71	10.89	11.72	10.73	11.57	11.1	11.09	11.22	12.15	10.63	11.65	11.13	10.18	10.2	9.54	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
4	0.23	-0.22	0.04	0.44	0.25	-0.21	-0.1	-0.1	0.17	0.21	-0.03	-0.4	0	-0.21	0.1	-0.4	8.84	8.52	9.16	8.89	8.84	9.17	8.93	9.03	9.26	8.6	9.3	7.84	9.23	8.89	8.72	9.44	A	A	P	P	P	A	A	A	P	A	A	P	P	A	P	P
5	0.86	-0.29	0.19	0.33	-0.08	0.12	-0.41	0.23	0.21	0.08	0.14	0.49	0	0.29	0.07	-0.18	9.15	8.44	8.6	8.41	8.46	8.53	8.32	9.5	9.26	8.29	9.3	7.9	8.78	8.1	8.88	9.15	P	P	P	A	P	A	A	P	P	P	A	P	P	P	P	P
6	0.34	-0.1	0.28	0.5	-0.11	0.01	-0.3	0.43	-0.02	0.34	0.23	0.03	-0.09	0.44	0.01	0.16	8.97	8.35	8.33	8.38	8.63	8.32	8.74	9.31	9.03	8.21	9.17	8.25	8.7	7.91	8.61	8.43	P	P	P	P	P	P	A	P	P	P	P	P	P	P	P	A
7	-0.16	-0.34	-0.49	-0.05	-0.51	-0.2	-0.04	-0.08	-0.41	-0.31	-0.66	-0.15	-0.09	-0.31	-0.38	-0.05	13.95	13.23	13.52	13.53	13.46	12.88	13.74	13.29	13.18	13.36	13.28	13.3	13.51	12.96	13.61	13.63	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
8	0.66	0.16	0.11	-0.17	0.23	-0.34	0.12	0.27	0.03	-0.04	-0.31	-0.01	0.31	0.09	-0.05	0.08	12.51	12.28	12.57	12.43	12.65	11.74	12.24	12.22	13.13	12.68	12.85	12.24	12.83	11.75	12.63	11.68	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
9	0.1	0.22	0.61	-0.07	0.11	-0.14	0.12	0.5	-0.01	0.06	-0.15	0.39	0.38	0.28	0.22	0.4	12.93	12.52	12.92	12.72	12.83	11.38	12.56	12.82	12.91	13.06	12.65	13.08	12.9	12.78	13.14	11.74	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
10	-0.03	-0.18	0.26	-0.44	-0.6	-0.46	0.05	0.07	-0.12	-0.2	-0.25	-0.01	0.26	-0.71	-0.32	0.28	11.31	10.93	11.1	11.22	11.25	10.52	10.27	10.7	11.62	11.22	11.45	11.08	11.55	10.83	11.16	10.05	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
